CustomerKey,First Name,Last Name,Full Name,Gender,Customer City,DateFirstPurchase
11000,Jon,Yang,Jon Yang,Male,Rockhampton,19/01/2020
11001,Eugene,Huang,Eugene Huang,Male,Seaford,15/01/2020
11002,Ruben,Torres,Ruben Torres,Male,Hobart,07/01/2020
11003,Christy,Zhu,Christy Zhu,Female,North Ryde,29/12/2019
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,Wollongong,23/01/2020
11005,Julio,Ruiz,Julio Ruiz,Male,East Brisbane,30/12/2019
11006,Janet,Alvarez,Janet Alvarez,Female,Matraville,24/01/2020
11007,Marco,Mehta,Marco Mehta,Male,Warrnambool,09/01/2020
11008,Rob,Verhoff,Rob Verhoff,Female,Bendigo,25/01/2020
11009,Shannon,Carlson,Shannon Carlson,Male,Hervey Bay,27/01/2020
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,East Brisbane,14/01/2020
11011,Curtis,Lu,Curtis Lu,Male,East Brisbane,30/12/2019
11012,Lauren,Walker,Lauren Walker,Female,Bremerton,16/03/2022
11013,Ian,Jenkins,Ian Jenkins,Male,Lebanon,13/04/2022
11014,Sydney,Bennett,Sydney Bennett,Female,Redmond,23/03/2022
11015,Chloe,Young,Chloe Young,Female,Burbank,18/01/2022
11016,Wyatt,Hill,Wyatt Hill,Male,Imperial Beach,09/02/2022
11017,Shannon,Wang,Shannon Wang,Female,Sunbury,12/01/2020
11018,Clarence,Rai,Clarence Rai,Male,Bendigo,17/01/2020
11019,Luke,Lal,Luke Lal,Male,Langley,12/02/2022
11020,Jordan,King,Jordan King,Male,Metchosin,29/12/2021
11021,Destiny,Wilson,Destiny Wilson,Female,Beaverton,23/01/2022
11022,Ethan,Zhang,Ethan Zhang,Male,Bellingham,20/01/2022
11023,Seth,Edwards,Seth Edwards,Male,Bellflower,17/02/2022
11024,Russell,Xie,Russell Xie,Male,Concord,27/06/2022
11025,Alejandro,Beck,Alejandro Beck,Male,Hawthorne,06/01/2020
11026,Harold,Sai,Harold Sai,Male,Goulburn,23/01/2020
11027,Jessie,Zhao,Jessie Zhao,Male,Warrnambool,16/01/2020
11028,Jill,Jimenez,Jill Jimenez,Female,St. Leonards,26/01/2020
11029,Jimmy,Moreno,Jimmy Moreno,Male,Bendigo,19/01/2020
11030,Bethany,Yuan,Bethany Yuan,Female,Cloverdale,05/02/2020
11031,Theresa,Ramos,Theresa Ramos,Female,Matraville,01/02/2020
11032,Denise,Stone,Denise Stone,Female,Melbourne,18/02/2020
11033,Jaime,Nath,Jaime Nath,Male,Milsons Point,15/02/2020
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,North Sydney,01/02/2020
11035,Wendy,Dominguez,Wendy Dominguez,Female,Cranbourne,06/02/2020
11036,Jennifer,Russell,Jennifer Russell,Female,National City,22/01/2022
11037,Chloe,Garcia,Chloe Garcia,Female,Cliffside,20/01/2022
11038,Diana,Hernandez,Diana Hernandez,Female,Lavender Bay,07/02/2020
11039,Marc,Martin,Marc Martin,Male,Wollongong,07/02/2020
11040,Jesse,Murphy,Jesse Murphy,Male,Tacoma,03/04/2022
11041,Amanda,Carter,Amanda Carter,Female,Glendale,14/01/2022
11042,Megan,Sanchez,Megan Sanchez,Female,Los Angeles,21/01/2022
11043,Nathan,Simmons,Nathan Simmons,Male,Glendale,08/05/2022
11044,Adam,Flores,Adam Flores,Male,Hervey Bay,28/02/2020
11045,Leonard,Nara,Leonard Nara,Male,Matraville,10/04/2022
11046,Christine,Yuan,Christine Yuan,Female,Lavender Bay,06/02/2020
11047,Jaclyn,Lu,Jaclyn Lu,Female,Geelong,03/02/2020
11048,Jeremy,Powell,Jeremy Powell,Male,Sunbury,10/02/2020
11049,Carol,Rai,Carol Rai,Female,Chula Vista,09/03/2022
11050,Alan,Zheng,Alan Zheng,Male,Hobart,20/02/2020
11051,Daniel,Johnson,Daniel Johnson,Male,Caloundra,29/12/2022
11052,Heidi,Lopez,Heidi Lopez,Female,Matraville,17/02/2020
11053,Ana,Price,Ana Price,Female,San Diego,17/01/2022
11054,Deanna,Munoz,Deanna Munoz,Female,Geelong,03/02/2020
11055,Gilbert,Raje,Gilbert Raje,Male,East Brisbane,31/01/2020
11056,Michele,Nath,Michele Nath,Female,Newcastle,26/02/2020
11057,Carl,Andersen,Carl Andersen,Male,Lane Cove,22/02/2020
11058,Marc,Diaz,Marc Diaz,Male,Findon,09/03/2020
11059,Ashlee,Andersen,Ashlee Andersen,Female,Townsville,18/02/2022
11060,Jon,Zhou,Jon Zhou,Male,Warrnambool,19/03/2020
11061,Todd,Gao,Todd Gao,Male,Gold Coast,13/03/2020
11062,Noah,Powell,Noah Powell,Male,Portland,07/01/2022
11063,Angela,Murphy,Angela Murphy,Female,Redmond,12/01/2022
11064,Chase,Reed,Chase Reed,Male,Downey,25/01/2022
11065,Jessica,Henderson,Jessica Henderson,Female,La Jolla,10/02/2022
11066,Grace,Butler,Grace Butler,Female,Lebanon,31/05/2022
11067,Caleb,Carter,Caleb Carter,Male,Port Orchard,18/08/2022
11068,Tiffany,Liang,Tiffany Liang,Female,Warrnambool,30/04/2022
11069,Carolyn,Navarro,Carolyn Navarro,Female,Gold Coast,17/04/2020
11070,Willie,Raji,Willie Raji,Male,Sunbury,28/04/2020
11071,Linda,Serrano,Linda Serrano,Female,Hawthorne,01/03/2022
11072,Casey,Luo,Casey Luo,Female,St. Leonards,31/03/2020
11073,Amy,Ye,Amy Ye,Female,Springwood,23/03/2022
11074,Levi,Arun,Levi Arun,Male,Cloverdale,23/03/2022
11075,Felicia,Jimenez,Felicia Jimenez,Female,Bendigo,28/04/2020
11076,Blake,Anderson,Blake Anderson,Male,Wollongong,21/04/2020
11077,Leah,Ye,Leah Ye,Female,Melton,15/04/2020
11078,Gina,Martin,Gina Martin,Female,Cliffside,15/02/2022
11079,Donald,Gonzalez,Donald Gonzalez,Male,Geelong,15/03/2022
11080,Damien,Chander,Damien Chander,Male,Perth,10/04/2020
11081,Savannah,Baker,Savannah Baker,Female,Concord,12/02/2022
11082,Angela,Butler,Angela Butler,Female,Fremont,22/01/2022
11083,Alyssa,Cox,Alyssa Cox,Female,Lincoln Acres,06/01/2022
11084,Lucas,Phillips,Lucas Phillips,Male,Lebanon,04/01/2022
11085,Emily,Johnson,Emily Johnson,Female,Newport Beach,06/12/2022
11086,Ryan,Brown,Ryan Brown,Male,Santa Monica,02/07/2022
11087,Tamara,Liang,Tamara Liang,Female,Chula Vista,25/02/2022
11088,Hunter,Davis,Hunter Davis,Male,San Diego,13/01/2022
11089,Abigail,Price,Abigail Price,Female,Long Beach,29/12/2021
11090,Trevor,Bryant,Trevor Bryant,Male,Los Angeles,07/08/2020
11091,Dalton,Perez,Dalton Perez,Male,Haney,29/01/2022
11092,Cheryl,Diaz,Cheryl Diaz,Female,East Brisbane,08/04/2020
11093,Aimee,He,Aimee He,Female,Wollongong,07/04/2020
11094,Cedric,Ma,Cedric Ma,Male,Cranbourne,07/04/2022
11095,Chad,Kumar,Chad Kumar,Male,Port Macquarie,01/04/2020
11096,Andrés,Anand,Andrés Anand,Male,North Sydney,11/04/2020
11097,Edwin,Nara,Edwin Nara,Male,Warrnambool,04/04/2020
11098,Mallory,Rubio,Mallory Rubio,Female,Rhodes,11/02/2022
11099,Adam,Ross,Adam Ross,Male,Port Macquarie,07/04/2020
11100,Latasha,Navarro,Latasha Navarro,Female,Cloverdale,16/04/2020
11101,Abby,Sai,Abby Sai,Female,Cranbourne,29/04/2020
11102,Julia,Nelson,Julia Nelson,Female,Sydney,16/07/2022
11103,Cassie,Chande,Cassie Chande,Female,Darlinghurst,15/04/2020
11104,Edgar,Sara,Edgar Sara,Male,Gold Coast,04/05/2020
11105,Candace,Fernandez,Candace Fernandez,Female,Matraville,14/05/2020
11106,Jessie,Liu,Jessie Liu,Male,Warrnambool,18/05/2020
11107,Bianca,Lin,Bianca Lin,Female,St. Leonards,01/05/2020
11108,Kari,Alvarez,Kari Alvarez,Female,Port Macquarie,03/05/2020
11109,Ruben,Kapoor,Ruben Kapoor,Male,South Melbourne,10/05/2020
11110,Curtis,Yang,Curtis Yang,Male,Darlinghurst,01/05/2020
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,Geelong,20/05/2020
11112,Crystal,Wang,Crystal Wang,Female,Hervey Bay,25/05/2020
11113,Micheal,Blanco,Micheal Blanco,Male,Perth,01/02/2022
11114,Leslie,Moreno,Leslie Moreno,Female,Rhodes,18/03/2022
11115,Alvin,Cai,Alvin Cai,Male,St. Leonards,10/02/2022
11116,Clinton,Carlson,Clinton Carlson,Male,Sydney,15/03/2022
11117,April,Deng,April Deng,Female,Matraville,06/05/2020
11118,Alvin,Zeng,Alvin Zeng,Male,Lavender Bay,10/07/2022
11119,Evan,James,Evan James,Male,Port Macquarie,03/02/2022
11120,Beth,Jiménez,Beth Jiménez,Female,Sydney,14/05/2020
11121,Orlando,Suarez,Orlando Suarez,Male,Newcastle,24/06/2022
11122,Byron,Vazquez,Byron Vazquez,Male,North Sydney,21/02/2022
11123,Philip,Alvarez,Philip Alvarez,Male,Sunbury,17/04/2022
11124,Ross,Jordan,Ross Jordan,Male,Warrnambool,05/05/2020
11125,Dana,Navarro,Dana Navarro,Female,Seaford,31/01/2022
11126,Shaun,Carson,Shaun Carson,Male,North Ryde,28/05/2020
11127,Jan,Edwards,Jan Edwards,Female,San Gabriel,10/04/2022
11128,Samantha,Long,Samantha Long,Female,Renton,19/06/2022
11129,Julia,Wright,Julia Wright,Female,Sedro Woolley,06/08/2020
11130,Caroline,Russell,Caroline Russell,Female,Lebanon,09/12/2022
11131,Amanda,Rivera,Amanda Rivera,Female,Haney,18/10/2022
11132,Melissa,Richardson,Melissa Richardson,Female,Langford,09/04/2022
11133,Angela,Griffin,Angela Griffin,Female,Lake Oswego,30/12/2022
11134,Larry,Townsend,Larry Townsend,Male,Perth,03/05/2020
11135,Marcus,Harris,Marcus Harris,Male,Burlingame,18/04/2022
11136,Brianna,Morgan,Brianna Morgan,Female,Metchosin,03/01/2022
